Indicator,count,missing_count,missing_percentage,outlier_count,outlier_percentage,mean,median,std,skewness,kurtosis,min,max,q25,q75,outlier_lower_bound,outlier_upper_bound
Year,4110,0,0.0,0,0.0,2013.9854,2014.0,6.0484,0.0006,-1.2047,2004.0,2024.0,2009.0,2019.0,,
Agri_GDP,3896,214,5.21,43,1.05,10.9333,7.2935,10.3428,1.207,1.1117,0.0115,66.0327,2.5723,17.045,-19.1368,38.7542
Credit_Private,3394,716,17.42,157,3.82,51.6644,39.3943,43.1012,1.4106,2.0624,0.0001,301.0189,19.642,69.8596,-55.6844,145.186
Elec_Access,3909,201,4.89,143,3.48,80.4987,98.5,28.702,-1.3061,0.288,0.8,100.0,65.1,100.0,12.75,152.35
Emp_Services,3794,316,7.69,0,0.0,53.7633,54.6645,17.8141,-0.2609,-0.7779,6.643,93.6782,40.4885,68.3856,,
FDI_GDP,3905,205,4.99,367,8.93,7.3017,2.8544,50.5869,7.724,351.2083,-1303.1083,1282.6072,1.2806,5.7309,-5.3947,12.4062
GDPC_2015,4025,85,2.07,487,11.85,13681.5365,5177.6453,21383.2014,3.5721,19.9139,250.8789,247170.2199,1747.532,15967.285,-19582.0975,37296.9145
Indus_GDP,3898,212,5.16,200,4.87,26.7552,24.7229,12.3025,1.3363,2.6524,2.0863,86.6696,18.8665,32.1738,-1.0944,52.1347
Internet_Usage,3760,350,8.52,0,0.0,43.5557,40.09,31.815,0.1757,-1.3876,0.0,100.0,12.7037,72.8087,,
Serv_GDP,3871,239,5.82,20,0.49,54.6854,54.5134,11.8943,-0.0671,-0.0354,6.4481,94.1483,46.5335,62.9178,21.9571,87.4942
